R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
24,117,147,49,49,48,27.84894220732736,1
210,21,14,62,35,108,43.318767873029174,1
204,19,6,144,165,191,45.91817111467098,1
107,41,47,48,55,66,25.60630728067799,1
151,185,211,69,127,55,41.928826486879025,0
152,82,93,65,69,70,24.22679088006474,1
50,50,52,44,42,48,3.951204841137254,0
190,95,100,95,58,94,26.85175815431816,0
65,69,70,109,158,77,38.070340070331774,1
161,179,86,203,204,201,24.095434465606168,1
184,35,27,49,58,128,40.970021117209484,0
194,121,61,199,89,95,22.665480315029637,1
198,196,63,190,95,100,51.04367714415045,0
116,131,119,48,52,58,29.469520537612965,1
41,48,64,121,61,85,24.568671856002425,1
31,86,66,51,206,80,43.988965933305565,0
115,139,180,119,46,88,36.91546145307054,1
141,17,37,72,70,76,25.306874814064308,1
90,89,98,78,135,184,24.3025123249637,1
85,45,60,27,69,53,41.9769132912014,1
153,89,105,164,31,57,14.312780763441609,1
59,57,77,193,132,137,38.352674734388515,0
207,220,113,228,200,57,12.055260641628989,1
88,59,61,144,104,111,17.470773615649442,0
142,189,101,142,189,229,42.91082345738398,0
82,47,61,120,55,104,12.456808716761234,1
87,206,79,111,46,51,74.30429103487921,0
81,90,73,77,58,126,32.59115295099105,1
119,46,88,191,17,31,25.597222354839595,1
69,127,55,147,214,195,31.426672830717887,0
204,49,47,21,212,84,78.9829781622961,1
181,32,39,25,123,90,60.37497704138788,1
44,42,47,76,76,75,11.773247143600782,1
76,78,64,16,57,97,27.46594001195294,0
47,44,42,38,73,132,24.18210263289325,1
20,177,215,178,150,170,43.009019738893834,1
113,122,182,39,41,45,34.14808562360477,1
122,157,189,131,174,216,5.548603651113517,1
86,173,110,75,90,142,47.324089256546095,0
203,85,53,43,51,63,40.708821630602344,1
195,196,203,229,81,112,32.834450061597934,1
41,49,64,196,166,31,58.69325718731206,1
110,153,88,52,67,80,41.355803511807686,1
119,152,143,129,206,127,22.11599358185962,1
98,85,123,124,41,71,19.9333310892187,1
143,16,54,51,172,64,77.52733672930586,0
95,98,119,95,51,65,21.650299278924038,1
169,27,32,66,86,116,37.139902837664415,0
73,83,161,129,169,209,30.35281706606898,1
206,194,76,227,77,41,45.12008660709951,1
102,68,128,102,106,113,19.911599763604414,1
237,99,58,25,25,26,49.47683388374591,0
44,36,61,81,62,144,17.691253632480542,1
74,71,82,194,121,61,37.664202644514184,0
76,71,70,232,110,72,37.77969818770373,1
133,54,52,149,159,155,43.402554298623414,1
59,68,64,50,140,100,28.532144988184836,1
