
110,29,34,17,53,124,33.540746433702736,1
132,42,49,121,22,21,7.086631913813053,1
201,178,55,145,29,45,58.97115327765422,0
206,194,76,61,38,40,66.88240660145055,1
119,46,88,76,76,77,23.13425721093686,1
108,97,136,76,180,171,38.93658755553351,1
135,133,141,205,164,123,24.30731155050165,1
43,83,133,128,104,47,41.45597703795256,0
58,67,195,210,74,80,40.28234544626359,1
40,64,120,191,66,120,34.476469355438,1
227,55,53,207,115,122,15.333948008977785,1
8,146,170,63,150,137,14.395299185079422,0
214,79,121,214,61,67,13.729417658892148,0
60,90,118,62,45,86,20.35765318930011,0
184,35,27,113,122,182,40.70535629994313,0
208,234,71,116,114,117,44.83009525256354,1
228,154,35,15,118,75,46.19517690388358,1
75,65,123,50,46,49,20.987691795758206,1
65,125,77,51,46,50,37.3265037643741,0
182,206,153,38,84,92,49.04800730967852,1
81,112,142,209,219,191,41.69516360516126,1
191,26,55,203,213,92,65.23206264568238,1
65,57,90,152,66,56,29.041615191107148,1
222,212,84,209,113,110,46.748401317466765,0
120,161,42,51,89,183,63.2126902014511,1
40,77,160,246,94,27,52.86801706453465,1
122,171,212,126,50,78,51.396513411829794,1
91,39,46,28,118,77,50.79779583526153,1
181,107,118,92,148,184,39.24439320271437,1
177,39,47,41,65,134,38.745937992377144,1
30,31,28,230,101,48,47.893384232391114,1
29,112,168,144,213,215,35.66506118340222,1
34,82,156,128,94,107,26.28610345103418,1
36,33,24,153,184,225,60.898909422108034,1
56,71,94,137,202,221,48.51932057844222,1
198,204,194,43,44,47,63.801580927887535,1
60,53,71,90,91,54,31.731342986943442,1
186,70,78,33,163,85,67.39975467410945,0
33,33,37,154,19,37,30.22284004868644,1
85,58,110,48,47,52,19.671815732888106,1
49,87,124,21,84,132,3.089280023083089,0
201,164,113,106,33,85,57.381392753333586,0
149,159,155,182,33,33,41.655901440157784,1
29,29,31,77,58,126,25.12511904643239,1
